,PC1,PC2,PC3,PC4,PC5,sample_class
TCGA-KI-0001-X01-01A-01-01,79.57668188384852,-1.7447575178299768,7.016538986681494,-15.159687689150262,0.6129143777042942,chRCC
TCGA-KI-0002-X02-01A-01-01,78.22812375160639,-1.3580123641228368,9.207385355099508,-15.872204259114147,-3.773886378150897,chRCC
TCGA-KI-0003-X03-01A-01-01,84.06136319831303,3.233368183719127,-5.263425328548929,0.26436778805996225,9.588969671819633,chRCC
TCGA-KI-0004-X04-01A-01-01,79.13456825049546,-2.026031630571758,8.376415261557014,-15.687420431403126,-1.0141325668601986,chRCC
TCGA-KI-0005-X05-01A-01-01,85.66013378448248,2.0521286727137205,2.6741654264251005,-12.946457982424203,11.676750748483867,chRCC
TCGA-KI-0006-X06-01A-01-01,88.61224540492468,4.046475555324484,-9.146200824226941,9.809281102078351,8.62135038970121,chRCC
TCGA-KI-0007-X07-01A-01-01,80.74513551727468,0.15171124245610015,4.196899589259335,-10.56130425730465,0.9259035089615616,chRCC
TCGA-KI-0008-X08-01A-01-01,85.97844777247245,1.5926788970543584,0.8906480635312737,-9.33329079733864,8.223439118815913,chRCC
TCGA-KI-0009-X09-01A-01-01,77.26039403930513,-2.8486616930522177,6.471795827864993,-12.424959824164922,-0.923258936919025,chRCC
TCGA-KI-0010-X10-01A-01-01,79.66921635993845,-2.0942184604556107,5.110006092244368,-8.773865815320624,1.234682538005303,chRCC
TCGA-KI-0011-X11-01A-01-01,78.97786095115767,-1.2942622194809503,4.371970923324367,-14.218069223203388,1.551857478168516,chRCC
TCGA-KI-0012-X12-01A-01-01,73.26424326007407,-2.051030836555035,10.867022079415484,-15.410831759976382,-8.539487491612059,chRCC
TCGA-KI-0013-X13-01A-01-01,71.65292961264183,-4.249281001547379,11.068093628049255,-12.233047898532307,-11.075995592444459,chRCC
TCGA-KI-0014-X14-01A-01-01,76.89533080233154,-1.1976106507822502,13.233738064681496,-14.155278176109565,-1.962475215175426,chRCC
TCGA-KI-0015-X15-01A-01-01,74.09561509214974,-3.2060510650992984,14.65401144568747,-18.41208236791975,-2.8837111580999535,chRCC
TCGA-KI-0001-X01-11G-01-01,-45.35172982029293,23.001752014489117,2.3283856777224545,0.9252214404638676,0.23259131921641124,normal
TCGA-KI-0001-X01-11I-01-01,-46.76885198490452,0.15159069682113357,-6.627131625478751,-2.472190529906123,3.1351298694124226,normal
TCGA-KI-0001-X01-11H-01-01,-42.507242702052636,-27.65747652359824,-2.0374881870982366,2.622578923654555,7.018960294483992,normal
TCGA-KI-0002-X02-11H-01-01,-41.28946587676346,-30.12188944066137,0.8459343251753669,3.317385765719053,6.723323318983598,normal
TCGA-KI-0002-X02-11G-01-01,-46.63268150703786,17.698771327682973,-1.4717849324838617,-1.6475887467897326,0.4472979299203074,normal
TCGA-KI-0003-X03-11G-01-01,-48.068028702354475,20.221034746098525,5.615874241994312,3.506492636181077,10.841306220761115,normal
TCGA-KI-0004-X04-11G-01-01,-47.09909122326388,24.24693700616654,7.38560650584683,4.963856978472422,10.960215342453578,normal
TCGA-KI-0005-X05-11G-01-01,-46.2248323529853,23.319944816036692,8.516162867557874,5.280054375729845,13.70151412699591,normal
TCGA-KI-0006-X06-11G-01-01,-47.5504612217509,21.89800760883772,10.624065465592476,5.50142712945747,10.404838532613425,normal
TCGA-KI-0003-X03-11H-01-01,-47.348008767214154,5.858862489286667,-0.8160523538337623,0.57268997556624,13.705570647963313,normal
TCGA-KI-0004-X04-11H-01-01,-41.29763439325371,-28.112004587236004,-1.3214252660621657,3.4743463622313455,12.605064994303943,normal
TCGA-KI-0005-X05-11H-01-01,-40.690158456494515,-31.39664707299634,4.205098863131944,5.7350504091475285,13.197372531128876,normal
TCGA-KI-0007-X07-11G-01-01,-46.806064871367,19.025675821566377,12.445743944676952,6.3174205905125005,9.034752006459293,normal
TCGA-KI-0008-X08-11G-01-01,-46.73706929311896,22.347287058983017,11.299593005900277,6.788910158502489,10.1967137818585,normal
TCGA-KI-0009-X09-11G-01-01,-45.545115908352,24.079790101591083,9.670629267080418,6.180885736366396,12.024848190951717,normal
TCGA-KI-0006-X06-11H-01-01,-43.18023939514855,-28.5547257410065,8.438892286017046,5.012420403846241,12.572478926772241,normal
TCGA-KI-0010-X10-11G-01-01,-45.240078871648414,25.197667951500346,9.59866980646456,6.431698651801044,14.617487581313428,normal
TCGA-KI-0011-X11-11G-01-01,-45.62536165059606,12.721066143163611,14.568374157019406,5.649276810214895,-9.471950096440827,normal
TCGA-KI-0007-X07-11H-01-01,-41.868608977088215,-23.96384295751089,15.106229509281619,6.733349271440376,-7.49212028241618,normal
TCGA-KI-0008-X08-11H-01-01,-37.705441099114516,-33.04531390703747,25.304535010435487,12.983350429765112,-10.295783150312971,normal
TCGA-KI-0009-X09-11H-01-01,-37.154723312098554,-31.630694401738428,34.220500489301294,11.931654770484359,-11.367123375215938,normal
TCGA-KI-0012-X12-11G-01-01,-47.24753765128771,20.401993365597267,1.0029397551050605,0.037899537420597165,-7.889432635872298,normal
TCGA-KI-0010-X10-11H-01-01,-43.761622528587466,-25.25115240595646,-6.026531396593732,-1.1847861835705877,-0.5237422825189757,normal
TCGA-KI-0011-X11-11H-01-01,-41.29656206813515,-34.77495703791756,15.789186164434982,8.115978813624967,-4.895054252383374,normal
TCGA-KI-0002-X02-11I-01-01,-47.17933852801004,19.53428426377857,0.5799661747320988,-0.9227875332599912,-6.381950467735181,normal
TCGA-KI-0012-X12-11H-01-01,-44.940527195914164,-14.067199747421023,-9.299907822849304,-3.8623322887034295,-2.560096915344255,normal
TCGA-KI-0013-X13-11H-01-01,-42.074481804850286,-31.57330183221794,1.5341702734476619,1.4985075721198933,2.310339650345839,normal
TCGA-KI-0013-X13-11G-01-01,-46.39058589299189,20.59607124432802,1.5721380052290834,0.32173351635543745,-8.088018916311944,normal
TCGA-KI-0014-X14-11G-01-01,-45.95383651993145,21.632840706661074,4.292991628318577,2.4197504154086453,-6.5425934295282175,normal
TCGA-KI-0015-X15-11G-01-01,-47.76140678509923,19.297202115899847,-4.771102326058323,-4.023328234692341,-7.757398464479224,normal
TCGA-KI-0014-X14-11H-01-01,-43.524195804622956,-23.781369276448675,-10.745400809895376,-4.6063646126580045,0.0385318042192144,normal
TCGA-KI-0015-X15-11H-01-01,-44.25858852615338,-16.903063989277666,-12.922831848187338,-6.222766105054485,-0.2590043628392335,normal
TCGA-KI-0016-X16-11G-01-01,-45.9971210826714,23.852193811919317,-0.09456891630966409,-0.7642386806733402,-6.890598811799936,normal
TCGA-KI-0003-X03-11I-01-01,-46.55341317538992,4.640268782078245,-14.155019481067558,-8.084880158135464,-2.1765472787406432,normal
TCGA-KI-0016-X16-11H-01-01,-44.54063270206055,-9.818172195014004,-13.392610183514275,-6.465220418248742,2.3174998551578843,normal
TCGA-KI-0017-X17-11H-01-01,-45.71942562298064,-10.575495957857084,-7.234653816473751,-4.270856306743599,0.20391536568213897,normal
TCGA-KI-0017-X17-11G-01-01,-46.77271543191737,23.124155404697394,-1.5401892307094038,-1.7975550166597494,-6.5196729429045375,normal
TCGA-KI-0004-X04-11I-01-01,-47.69257466653452,12.071785071031893,-9.845001814199344,-6.7693812073708495,-4.2669219604894115,normal
TCGA-KI-0018-X18-11H-01-01,-43.17740010479622,-23.954765995281704,-11.482540859041842,-4.148331689864124,-1.289120849696959,normal
TCGA-KI-0019-X19-11H-01-01,-42.40476828994295,-31.088638560010168,-0.5144270301470845,0.0671975881672866,-0.8468269378381074,normal
TCGA-KI-0018-X18-11G-01-01,-47.537537564321156,19.273385940246968,-4.946525290180826,-4.770411860609007,-5.92473356713436,normal
TCGA-KI-0020-X20-11H-01-01,-46.17510032524761,-9.59189012427481,-14.197949901302042,-6.995675329079575,-2.82494175194893,normal
TCGA-KI-0019-X19-11G-01-01,-46.63721936884643,23.68931507099816,0.3160550977633687,-1.4492368479442745,-7.638759930006668,normal
TCGA-KI-0021-X21-11H-01-01,-41.525211435465415,-29.64694024370719,-9.725749392881402,-2.7409326673975474,0.19093339317920122,normal
TCGA-KI-0022-X22-11H-01-01,-43.53193603071152,-29.844803949558486,-3.0021498999138196,-1.6633697691162457,0.33290769993288033,normal
TCGA-KI-0020-X20-11G-01-01,-47.20779657061351,19.994046142671525,-3.2867154891877126,-3.5157318377672877,-6.506482814618316,normal
TCGA-KI-0021-X21-11G-01-01,-46.539933532873725,22.38913008834447,-0.8662336696262117,-2.1937182547024823,-7.0064298487576275,normal
TCGA-KI-0005-X05-11I-01-01,-47.88723540428738,0.2945000888559201,-11.83251363734885,-7.180946681974305,-1.88937225465275,normal
TCGA-KI-0023-X23-11H-01-01,-45.14314041670041,-13.912271992545815,-14.53952192445869,-6.784414202364223,-1.3078585306064066,normal
TCGA-KI-0006-X06-11I-01-01,-46.915078506029026,5.02015689295481,-11.056336360769217,-6.9870064529439215,-4.594664567236879,normal
TCGA-KI-0022-X22-11G-01-01,-46.01013647440742,24.435842764201993,-0.7313919785137201,-1.7658011295604994,-7.757718658128091,normal
TCGA-KI-0023-X23-11G-01-01,-46.7686391942573,20.704775578519413,-4.024833582568962,-3.965278564239647,-5.172466757962864,normal
TCGA-KI-0024-X24-11H-01-01,-44.05857053869922,-19.087662828849908,-12.400189180261552,-5.589224630871038,-1.0238074254472842,normal
TCGA-KI-0001-X01-02A-01-01,69.60941954158444,0.3845439487348987,-1.799038075266367,2.7586645717451836,-8.144823012834047,oncocytoma
TCGA-KI-0002-X02-02A-01-01,70.10342584929299,-2.577235347321363,-2.6469992954655437,16.65391873960441,-13.750271535907759,oncocytoma
TCGA-KI-0003-X03-02A-01-01,84.14436263224145,1.9384692456003407,-0.490795286174075,-1.1394699947183746,10.933304126027304,oncocytoma
TCGA-KI-0004-X04-02A-01-01,75.94930814851185,0.4216512260804493,-9.956169866335905,17.928969796494002,-9.56171483076777,oncocytoma
TCGA-KI-0005-X05-02A-01-01,85.74469146879605,3.795164454707929,-7.248287303531184,8.881652247234994,9.016422731231419,oncocytoma
TCGA-KI-0006-X06-02A-01-01,74.25160621983909,-1.2855570941715229,-4.541006013417646,14.286891987485594,-9.005259355913962,oncocytoma
TCGA-KI-0007-X07-02A-01-01,82.46944415742587,2.679891847267493,-11.004583201884545,15.674803567080547,-0.6349037543180629,oncocytoma
TCGA-KI-0008-X08-02A-01-01,86.89925756131022,3.912405722542721,-4.3831513204658465,0.9973091639451872,14.561924841413337,oncocytoma
TCGA-KI-0009-X09-02A-01-01,79.26151987192412,1.028956139834451,-9.2794569719854,18.25135330575661,-6.534750808765791,oncocytoma
TCGA-KI-0010-X10-02A-01-01,77.86297572196695,0.7221396573902872,-7.581210067148863,17.29612700572638,-8.190317822516265,oncocytoma
TCGA-KI-0011-X11-02A-01-01,69.14190480983778,3.0662774828897565,0.4927406953077649,8.120843442678526,-12.687914765221116,oncocytoma
TCGA-KI-0012-X12-02A-01-01,79.24370168715112,2.7599820097751584,-7.882641355561837,15.780670881651092,-3.8084382232724496,oncocytoma
TCGA-KI-0013-X13-02A-01-01,89.37693363488326,6.3737997684445045,-7.418347226147428,8.969348572503524,11.917402831011241,oncocytoma
TCGA-KI-0014-X14-02A-01-01,84.58252816333936,3.6952458871144254,-3.864640764174158,2.6002358094456883,9.022759897054325,oncocytoma
TCGA-KI-0015-X15-02A-01-01,81.42179098211736,1.711765592455275,-6.478442854006515,14.508750173437381,-5.04874067435953,oncocytoma
